 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.12500000       1.0000000    
  0.12500000       1.0000000    
  0.37500000       1.0000000    
  0.62500000       1.0000000    
  0.87500000       1.0000000    
   1.1250000       1.0000000    
   1.3750000       1.0000000    
   1.6250000       1.0000000    
   1.8750000       1.0000000    
   2.1250000       1.0000000    
   2.3750000       1.0000000    
   2.6250000       1.0000000    
   2.8750000       1.0000000    
   3.1250000       1.0000000    
   3.3750000       1.0000000    
   3.6250000       1.0000000    
   3.8750000      0.99959999    
   4.1250000      0.99930000    
   4.3750000      0.99890000    
   4.6250000      0.99870002    
   4.8750000      0.99860001    
   5.1250000      0.99849999    
   5.3750000      0.99830002    
   5.6250000      0.99820000    
   5.8750000      0.99809998    
   6.1250000      0.99790001    
   6.3750000      0.99760002    
   6.6250000      0.99720001    
   6.8750000      0.99710000    
   7.1250000      0.99659997    
   7.3750000      0.99629998    
   7.6250000      0.99540001    
   7.8750000      0.99299997    
   8.1250000      0.98949999    
   8.3750000      0.97829998    
   8.6250000      0.97039998    
   8.8750000      0.96230000    
   9.1250000      0.95139998    
   9.3750000      0.93930000    
   9.6250000      0.92760003    
   9.8750000      0.91520000    
   10.125000      0.90410000    
   10.375000      0.88999999    
   10.625000      0.70740002    
   10.875000       0.0000000    
   11.125000       0.0000000    
   11.375000       0.0000000    
   11.625000       0.0000000    
   11.875000       0.0000000    
   12.125000       0.0000000    
   12.375000       0.0000000    
   12.625000       0.0000000    
   12.875000       0.0000000    
   13.125000       0.0000000    
   13.375000       0.0000000    
   13.625000       0.0000000    
   13.875000       0.0000000    
   14.125000       0.0000000    
   14.375000       0.0000000    
   14.625000       0.0000000    
   14.875000       0.0000000    
   15.125000       0.0000000    
   15.375000       0.0000000    
   15.625000       0.0000000    
   15.875000       0.0000000    
   16.125000       0.0000000    
   16.375000       0.0000000    
   16.625000       0.0000000    
   16.875000       0.0000000    
   17.125000       0.0000000    
   17.375000       0.0000000    
   17.625000       0.0000000    
   17.875000       0.0000000    
   18.125000       0.0000000    
   18.375000       0.0000000    
   18.625000       0.0000000    
   18.875000       0.0000000    
   19.125000       0.0000000    
   19.375000       0.0000000    
   19.625000       0.0000000    
