 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.12500000       1.0000000    
  0.12500000      0.99940002    
  0.37500000      0.99890000    
  0.62500000      0.99739999    
  0.87500000      0.99550003    
   1.1250000      0.99449998    
   1.3750000      0.99330002    
   1.6250000      0.99190003    
   1.8750000      0.98989999    
   2.1250000      0.98750001    
   2.3750000      0.98580003    
   2.6250000      0.98360002    
   2.8750000      0.98259997    
   3.1250000      0.98199999    
   3.3750000      0.98040003    
   3.6250000      0.97799999    
   3.8750000      0.97570002    
   4.1250000      0.97430003    
   4.3750000      0.97259998    
   4.6250000      0.97030002    
   4.8750000      0.96859998    
   5.1250000      0.96609998    
   5.3750000      0.96390003    
   5.6250000      0.95959997    
   5.8750000      0.95760000    
   6.1250000      0.95590001    
   6.3750000      0.95340002    
   6.6250000      0.94999999    
   6.8750000      0.94639999    
   7.1250000      0.94270003    
   7.3750000      0.93900001    
   7.6250000      0.93550003    
   7.8750000      0.93159997    
   8.1250000      0.92739999    
   8.3750000      0.92049998    
   8.6250000      0.91210002    
   8.8750000      0.90120000    
   9.1250000      0.89099997    
   9.3750000      0.84390002    
   9.6250000      0.80940002    
   9.8750000      0.78340000    
   10.125000      0.74059999    
   10.375000      0.70039999    
   10.625000      0.43140000    
   10.875000       0.0000000    
   11.125000       0.0000000    
   11.375000       0.0000000    
   11.625000       0.0000000    
   11.875000       0.0000000    
   12.125000       0.0000000    
   12.375000       0.0000000    
   12.625000       0.0000000    
   12.875000       0.0000000    
   13.125000       0.0000000    
   13.375000       0.0000000    
   13.625000       0.0000000    
   13.875000       0.0000000    
   14.125000       0.0000000    
   14.375000       0.0000000    
   14.625000       0.0000000    
   14.875000       0.0000000    
   15.125000       0.0000000    
   15.375000       0.0000000    
   15.625000       0.0000000    
   15.875000       0.0000000    
   16.125000       0.0000000    
   16.375000       0.0000000    
   16.625000       0.0000000    
   16.875000       0.0000000    
   17.125000       0.0000000    
   17.375000       0.0000000    
   17.625000       0.0000000    
   17.875000       0.0000000    
   18.125000       0.0000000    
   18.375000       0.0000000    
   18.625000       0.0000000    
   18.875000       0.0000000    
   19.125000       0.0000000    
   19.375000       0.0000000    
   19.625000       0.0000000    
